GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Feature5PQRS,com.feature5.pqrs.mapper,UsuarioMapper,0,5,0,0,0,1,0,1,0,1
Feature5PQRS,com.feature5.pqrs.mapper,RolMapperImpl,36,3,4,0,12,1,4,1,2,1
Feature5PQRS,com.feature5.pqrs.mapper,RolMapper,5,0,0,0,1,0,1,0,1,0
Feature5PQRS,com.feature5.pqrs.mapper,PqrsMapper,0,5,0,0,0,1,0,1,0,1
Feature5PQRS,com.feature5.pqrs.mapper,UsuarioMapperImpl,6,135,3,3,3,37,3,4,0,4
Feature5PQRS,com.feature5.pqrs.mapper,PqrsMapperImpl,6,127,3,3,3,35,3,4,0,4
Feature5PQRS,com.feature5.pqrs,Feature5PqrsApplication,5,3,0,0,2,1,1,1,1,1
Feature5PQRS,com.feature5.pqrs.DTO,LoginRequestDTO,0,17,0,0,0,7,0,5,0,5
Feature5PQRS,com.feature5.pqrs.DTO,RolDTO,26,0,0,0,11,0,6,0,6,0
Feature5PQRS,com.feature5.pqrs.DTO,PqrsResponseDTO,6,53,0,0,2,23,2,15,2,15
Feature5PQRS,com.feature5.pqrs.DTO,UsuarioResponseDTO,9,43,0,0,3,19,3,12,3,12
Feature5PQRS,com.feature5.pqrs.DTO,UsuarioDTO,0,73,0,0,0,31,0,21,0,21
Feature5PQRS,com.feature5.pqrs.DTO,PqrsDTO,21,63,0,0,8,27,2,18,2,18
Feature5PQRS,com.feature5.pqrs.controller,PqrsController,6,99,2,2,2,22,2,8,0,8
Feature5PQRS,com.feature5.pqrs.controller,RolController,6,61,2,2,2,13,2,6,0,6
Feature5PQRS,com.feature5.pqrs.controller,AuthController,0,47,0,2,0,12,0,3,0,2
Feature5PQRS,com.feature5.pqrs.controller,UsuarioController,3,44,1,3,1,13,1,6,0,5
Feature5PQRS,com.feature5.pqrs.controller,TestController,4,3,0,0,2,1,2,1,2,1
Feature5PQRS,com.feature5.pqrs.config,DataInitializer,4,62,1,1,2,20,1,3,0,3
Feature5PQRS,com.feature5.pqrs.config,JwtUtils,29,27,0,0,14,8,2,3,2,3
Feature5PQRS,com.feature5.pqrs.config,CustomUserDetailsService,17,3,2,0,3,1,2,1,1,1
Feature5PQRS,com.feature5.pqrs.config,JwtAuthenticationFilter,83,16,12,0,21,5,8,2,2,2
Feature5PQRS,com.feature5.pqrs.config,SecurityConfig,10,70,0,0,2,18,2,9,2,9
Feature5PQRS,com.feature5.pqrs.service,UsuarioService,31,189,5,9,6,46,6,10,1,8
Feature5PQRS,com.feature5.pqrs.entities,Pqrs,0,62,0,0,0,26,0,18,0,18
Feature5PQRS,com.feature5.pqrs.entities,Rol,6,17,0,0,3,7,1,5,1,5
Feature5PQRS,com.feature5.pqrs.entities,Usuario,0,73,0,0,0,31,0,21,0,21
